"Trip ID","Taxi ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area",Fare,Tips,Tolls,Extras,"Trip Total","Payment Type",Company,"Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid  Location","Community Areas"
a2c801e40a96917d7d51875d9d5147cd76659cc0,d5c4fbae1c0c510364404a90fd477b19f7f03408ce40ff2cdb76b991835eadc1d7b1540d939262f561ba227da02a2c7bbbb1fc093511af5d261f29e34cd76cdf,"04/06/2016 08:45:00 PM","04/06/2016 09:00:00 PM",600,0.1,17031081403,17031833000,8,28,$8.75,$4.00,$0.00,$1.00,$13.75,"Credit Card","Taxi Affiliation Services",41.890922026,-87.618868355,"POINT (-87.618868 41.890922)",41.88528132,-87.6572332,"POINT (-87.657233 41.885281)",37
a2c80221afa9d895a997edfde9c0215863d55b95,7e179f8ef66ae99ec2d1ec89224e0b7ee5469fe5627f6dc2e8b9f1843e432dc471d29f9c22edef4dcc3d22060f4818321e988f698797827307339a0953b30ed4,"10/22/2013 08:45:00 PM","10/22/2013 09:00:00 PM",900,0,"","",32,5,$15.25,$0.00,$0.00,$0.00,$15.25,Cash,"Choice Taxi Association",41.878865584,-87.625192142,"POINT (-87.625192 41.878866)",41.947791586,-87.683834942,"POINT (-87.683835 41.947792)",38
a2c80234eb1fd50bd17fe42e220d0fcf87785bc9,335e5b94c1eb05d4b83164f78b0246b7ce44188a32d029278e4528609a9314974625ae5226e29afea9cf911f9480456e650f466f5552ef02f117496d23db1a88,"09/21/2013 04:30:00 PM","09/21/2013 04:45:00 PM",840,0,"","","","",$12.65,$0.00,$0.00,$1.00,$13.65,Cash,"Choice Taxi Association","","","","","","",""
a2c8026c248a795c6ea96505c927fd82880cf4cb,6775020216ff4fd219bc6c63d4dcac611945dc862e64789054200b735a6986a928ce10460b97e2d1da47dcf411ae59d1b7a5e14d421cdb8014d4981b77eea741,"08/14/2014 12:45:00 AM","08/14/2014 01:15:00 AM",2340,1.8,"","",8,"",$57.85,$3.00,$0.00,$19.00,$79.85,"Credit Card","Blue Ribbon Taxi Association Inc.",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)","","","",37
a2c8027672076efbea027a79a6f88f387628baac,40844332cd5a168869dce45edb1ca2e70aae34deb9241448b32f2ed7a90a77e407bd7989e30906dbd2153878675af56ef83428437b0ea9fe21ed3506c3eff15d,"07/21/2014 12:45:00 PM","07/21/2014 01:00:00 PM",1080,5.5,"","",7,32,$15.25,$0.00,$0.00,$0.00,$15.25,Cash,"Taxi Affiliation Services",41.922686284,-87.649488729,"POINT (-87.649489 41.922686)",41.878865584,-87.625192142,"POINT (-87.625192 41.878866)",68
a2c80276eff87b90b363b35e9a3a3551a4c0a2ba,cf39200ae52386dfa52be5a8e1da54653690fac9fba627c56b2de87a6450d7cff76ef0f185f95771e8564e67f6e77e98df376659f7264226baa946aec4ee1cc0,"12/06/2014 01:45:00 AM","12/06/2014 02:00:00 AM",480,0.1,"","",24,24,$6.85,$0.00,$0.00,$0.00,$6.85,Cash,"Dispatch Taxi Affiliation",41.901206994,-87.676355989,"POINT (-87.676356 41.901207)",41.901206994,-87.676355989,"POINT (-87.676356 41.901207)",25
a2c80281db9587ab3a4aaeb185b9f19571b7fba0,dff961ecd817888f464f58b7438c55182ed09d92003ec46cf92bff17bd6a7411fbb2e62a529caba1762ae76d027cd34640c152047ddbe45cc693cf4a20f7201c,"06/01/2013 11:45:00 PM","06/02/2013 12:15:00 AM",1500,0.67,"","","","",$18.25,$3.65,$0.00,$0.00,$21.90,"Credit Card","","","","","","","",""
a2c802957f51f1b7a4fcf7c5e4a54b86fefaddeb,90a71f0b104d6482286aeed6f5c74e096cc71d9cf766b78295487811df6d4e32a41b3051ed962c8fd50a2aa4361a16cd6a921c0102316948ff730c10eadd3566,"05/22/2014 03:45:00 PM","05/22/2014 04:00:00 PM",1080,4.1,17031081201,17031063100,8,6,$13.45,$0.00,$0.00,$0.00,$13.45,Cash,"",41.899155613,-87.626210532,"POINT (-87.626211 41.899156)",41.938232293,-87.646782081,"POINT (-87.646782 41.938232)",37
a2c8031e59ec44b9073d040502fd4a27a67c7a79,272483fc93f4493126260a88a1bfad474687db1c2bf437f9e40d35521a013bd0cbedbeb51511030762b74880db93497619ee2d5c6f6918d5356e850926249c52,"01/30/2013 11:00:00 PM","01/30/2013 11:30:00 PM",1680,6.7,17031081300,17031030500,8,77,$21.45,$0.00,$0.00,$0.00,$21.45,Cash,"",41.898331794,-87.620762865,"POINT (-87.620763 41.898332)",41.987225558,-87.664937724,"POINT (-87.664938 41.987226)",37
a2c80327d488069f2004a6772458f72a5f9cb84d,6848fb65d081cae1ae77f1828f6ec5fce4bb75c28a81bcad312a86024d6cddb7743d1357e116853b2a759c2c6b34f794c166bef5ebbeb91ecc0c9dd72b73d3b6,"01/26/2014 06:00:00 PM","01/26/2014 06:15:00 PM",420,0.1,"","",8,7,$7.65,$0.00,$0.00,$0.00,$7.65,Cash,"Taxi Affiliation Services",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)",41.922686284,-87.649488729,"POINT (-87.649489 41.922686)",37
